sample_id,file_name,split,session_id,conveyor_id,label_code,quality_status,source_path,checksum,review_status,model_use,notes,fault_type
SAMPLE-0001,test2026/test/anomaly_id_01_00000000.wav,,SESSION-0001,CV-01,abnormal,good,test2026/test/anomaly_id_01_00000000.wav,a5c76c64ef5b8df6e532fa436a6671ea2f2ecce870805e7f337ca427ea8f4662,,eval,machine_id_01. DCASE ToyConveyor public benchmark audio; machine-id synthetic osmosis; no fault-type labels; not plant field data.,Idler Bearing Failure
SAMPLE-0002,test2026/test/anomaly_id_01_00000001.wav,,SESSION-0002,CV-01,abnormal,good,test2026/test/anomaly_id_01_00000001.wav,70cdb22969d543770abe8c6ffd8ae8cf9398b6fbeb2b84d34f88d0e8140e450f,,eval,machine_id_01. DCASE ToyConveyor public benchmark audio; machine-id synthetic osmosis; no fault-type labels; not plant field data.,Idler Bearing Failure
SAMPLE-0003,test2026/test/anomaly_id_01_00000002.wav,,SESSION-0003,CV-01,abnormal,good,test2026/test/anomaly_id_01_00000002.wav,0805c07c302a907010355af53473b8f069ae4ac1ed0f9e15f42688723cae33d2,,eval,machine_id_01. DCASE ToyConveyor public benchmark audio; machine-id synthetic osmosis; no fault-type labels; not plant field data.,Idler Bearing Failure
SAMPLE-0004,test2026/test/anomaly_id_01_00000003.wav,,SESSION-0004,CV-01,abnormal,good,test2026/test/anomaly_id_01_00000003.wav,b44b863044b0053b2401da7204dfa9efd8081313bec6bd16e1c04adda0db8dac,,eval,machine_id_01. DCASE ToyConveyor public benchmark audio; machine-id synthetic osmosis; no fault-type labels; not plant field data.,Idler Bearing Failure
SAMPLE-0005,test2026/test/anomaly_id_01_00000004.wav,,SESSION-0005,CV-01,abnormal,good,test2026/test/anomaly_id_01_00000004.wav,8457c76a8bce4fbda1963428322825475ffbfd852f962379311ff99abec77a5e,,eval,machine_id_01. DCASE ToyConveyor public benchmark audio; machine-id synthetic osmosis; no fault-type labels; not plant field data.,Idler Bearing Failure
SAMPLE-0006,test2026/test/anomaly_id_01_00000005.wav,,SESSION-0006,CV-01,abnormal,good,test2026/test/anomaly_id_01_00000005.wav,3f029dafd56a398c9f92b51742a546947d5a44d432140183f425f9e903d196f7,,eval,machine_id_01. DCASE ToyConveyor public benchmark audio; machine-id synthetic osmosis; no fault-type labels; not plant field data.,Idler Bearing Failure
SAMPLE-0007,test2026/test/anomaly_id_01_00000006.wav,,SESSION-0007,CV-01,abnormal,good,test2026/test/anomaly_id_01_00000006.wav,a47694b13259576a4df18068bccb10185be94f562f323148254b5f9346546bfc,,eval,machine_id_01. DCASE ToyConveyor public benchmark audio; machine-id synthetic osmosis; no fault-type labels; not plant field data.,Idler Bearing Failure
SAMPLE-0008,test2026/test/anomaly_id_01_00000007.wav,,SESSION-0008,CV-01,abnormal,good,test2026/test/anomaly_id_01_00000007.wav,d65d85a7acaf7ffea46bb4d3c4f9e0c669e4f12934bdebaa05336f8cda264371,,eval,machine_id_01. DCASE ToyConveyor public benchmark audio; machine-id synthetic osmosis; no fault-type labels; not plant field data.,Idler Bearing Failure
SAMPLE-0009,test2026/test/anomaly_id_01_00000008.wav,,SESSION-0009,CV-01,abnormal,good,test2026/test/anomaly_id_01_00000008.wav,f0accbf02525be71803ed6ced1202d1e76df1ae06af06e40753f77236c6640ab,,eval,machine_id_01. DCASE ToyConveyor public benchmark audio; machine-id synthetic osmosis; no fault-type labels; not plant field data.,Idler Bearing Failure
SAMPLE-0010,test2026/test/anomaly_id_01_00000009.wav,,SESSION-0010,CV-01,abnormal,good,test2026/test/anomaly_id_01_00000009.wav,6ec3cdf8e1ea83942e3a0c33ec91eae8b013ae7593e877addb06578615f4ff12,,eval,machine_id_01. DCASE ToyConveyor public benchmark audio; machine-id synthetic osmosis; no fault-type labels; not plant field data.,Idler Bearing Failure
SAMPLE-0011,test2026/test/anomaly_id_01_00000010.wav,,SESSION-0011,CV-01,abnormal,good,test2026/test/anomaly_id_01_00000010.wav,9efdb5a1d66c1e46b6cd4b656f69dd440907caaf5c2891a32eed6429e61f7811,,eval,machine_id_01. DCASE ToyConveyor public benchmark audio; machine-id synthetic osmosis; no fault-type labels; not plant field data.,Idler Bearing Failure
SAMPLE-0012,test2026/test/anomaly_id_01_00000011.wav,,SESSION-0012,CV-01,abnormal,good,test2026/test/anomaly_id_01_00000011.wav,18b9a13e475d414048b4f16b05db50c4ed7f18bfea7ab2219a4afdd8bc276cf6,,eval,machine_id_01. DCASE ToyConveyor public benchmark audio; machine-id synthetic osmosis; no fault-type labels; not plant field data.,Idler Bearing Failure
SAMPLE-0013,test2026/test/anomaly_id_01_00000012.wav,,SESSION-0013,CV-01,abnormal,good,test2026/test/anomaly_id_01_00000012.wav,c7d7294e4c3fc306621d15633fdf4d35e04090915e7010cbed9d00d38a758804,,eval,machine_id_01. DCASE ToyConveyor public benchmark audio; machine-id synthetic osmosis; no fault-type labels; not plant field data.,Idler Bearing Failure
SAMPLE-0014,test2026/test/anomaly_id_01_00000013.wav,,SESSION-0014,CV-01,abnormal,good,test2026/test/anomaly_id_01_00000013.wav,b7afc9091d3f089cf3eb717b4e518ff7951894b76c7ce64fd9fc3eab11ccffba,,eval,machine_id_01. DCASE ToyConveyor public benchmark audio; machine-id synthetic osmosis; no fault-type labels; not plant field data.,Idler Bearing Failure
