sample_id,file_name,recorded_at,conveyor_id,plant_id,operator_id_or_code,fault_label,fault_severity,label_confidence,belt_speed_mps,load_condition,material_type,microphone_position,microphone_device,phone_model,ambient_noise,weather_or_environment,maintenance_state,technician_reviewer,safety_approval,notes
SAMPLE-0001,test2026/test/anomaly_id_01_00000000.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0002,test2026/test/anomaly_id_01_00000001.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0003,test2026/test/anomaly_id_01_00000002.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0004,test2026/test/anomaly_id_01_00000003.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0005,test2026/test/anomaly_id_01_00000004.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0006,test2026/test/anomaly_id_01_00000005.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0007,test2026/test/anomaly_id_01_00000006.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0008,test2026/test/anomaly_id_01_00000007.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0009,test2026/test/anomaly_id_01_00000008.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0010,test2026/test/anomaly_id_01_00000009.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0011,test2026/test/anomaly_id_01_00000010.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0012,test2026/test/anomaly_id_01_00000011.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0013,test2026/test/anomaly_id_01_00000012.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0014,test2026/test/anomaly_id_01_00000013.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0015,test2026/test/anomaly_id_01_00000014.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0016,test2026/test/anomaly_id_01_00000015.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0017,test2026/test/anomaly_id_01_00000016.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0018,test2026/test/anomaly_id_01_00000017.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0019,test2026/test/anomaly_id_01_00000018.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0020,test2026/test/anomaly_id_01_00000019.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0021,test2026/test/anomaly_id_01_00000020.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0022,test2026/test/anomaly_id_01_00000021.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0023,test2026/test/anomaly_id_01_00000022.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0024,test2026/test/anomaly_id_01_00000023.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0025,test2026/test/anomaly_id_01_00000024.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0026,test2026/test/anomaly_id_01_00000025.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0027,test2026/test/anomaly_id_01_00000026.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0028,test2026/test/anomaly_id_01_00000027.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0029,test2026/test/anomaly_id_01_00000028.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0030,test2026/test/anomaly_id_01_00000029.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0031,test2026/test/anomaly_id_01_00000030.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0032,test2026/test/anomaly_id_01_00000031.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0033,test2026/test/anomaly_id_01_00000032.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0034,test2026/test/anomaly_id_01_00000033.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0035,test2026/test/anomaly_id_01_00000034.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0036,test2026/test/anomaly_id_01_00000035.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0037,test2026/test/anomaly_id_01_00000036.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0038,test2026/test/anomaly_id_01_00000037.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0039,test2026/test/anomaly_id_01_00000038.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0040,test2026/test/anomaly_id_01_00000039.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0041,test2026/test/anomaly_id_01_00000040.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0042,test2026/test/anomaly_id_01_00000041.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0043,test2026/test/anomaly_id_01_00000042.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0044,test2026/test/anomaly_id_01_00000043.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0045,test2026/test/anomaly_id_01_00000044.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0046,test2026/test/anomaly_id_01_00000045.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0047,test2026/test/anomaly_id_01_00000046.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0048,test2026/test/anomaly_id_01_00000047.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0049,test2026/test/anomaly_id_01_00000048.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0050,test2026/test/anomaly_id_01_00000049.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0051,test2026/test/anomaly_id_01_00000050.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0052,test2026/test/anomaly_id_01_00000051.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0053,test2026/test/anomaly_id_01_00000052.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0054,test2026/test/anomaly_id_01_00000053.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0055,test2026/test/anomaly_id_01_00000054.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0056,test2026/test/anomaly_id_01_00000055.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0057,test2026/test/anomaly_id_01_00000056.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0058,test2026/test/anomaly_id_01_00000057.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0059,test2026/test/anomaly_id_01_00000058.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0060,test2026/test/anomaly_id_01_00000059.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0061,test2026/test/anomaly_id_01_00000060.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0062,test2026/test/anomaly_id_01_00000061.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0063,test2026/test/anomaly_id_01_00000062.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0064,test2026/test/anomaly_id_01_00000063.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0065,test2026/test/anomaly_id_01_00000064.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0066,test2026/test/anomaly_id_01_00000065.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0067,test2026/test/anomaly_id_01_00000066.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0068,test2026/test/anomaly_id_01_00000067.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0069,test2026/test/anomaly_id_01_00000068.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0070,test2026/test/anomaly_id_01_00000069.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0071,test2026/test/anomaly_id_01_00000070.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0072,test2026/test/anomaly_id_01_00000071.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0073,test2026/test/anomaly_id_01_00000072.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0074,test2026/test/anomaly_id_01_00000073.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0075,test2026/test/anomaly_id_01_00000074.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0076,test2026/test/anomaly_id_01_00000075.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0077,test2026/test/anomaly_id_01_00000076.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0078,test2026/test/anomaly_id_01_00000077.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0079,test2026/test/anomaly_id_01_00000078.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0080,test2026/test/anomaly_id_01_00000079.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0081,test2026/test/anomaly_id_01_00000080.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0082,test2026/test/anomaly_id_01_00000081.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0083,test2026/test/anomaly_id_01_00000082.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0084,test2026/test/anomaly_id_01_00000083.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0085,test2026/test/anomaly_id_01_00000084.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0086,test2026/test/anomaly_id_01_00000085.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0087,test2026/test/anomaly_id_01_00000086.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0088,test2026/test/anomaly_id_01_00000087.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0089,test2026/test/anomaly_id_01_00000088.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0090,test2026/test/anomaly_id_01_00000089.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0091,test2026/test/anomaly_id_01_00000090.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0092,test2026/test/anomaly_id_01_00000091.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0093,test2026/test/anomaly_id_01_00000092.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0094,test2026/test/anomaly_id_01_00000093.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0095,test2026/test/anomaly_id_01_00000094.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0096,test2026/test/anomaly_id_01_00000095.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0097,test2026/test/anomaly_id_01_00000096.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0098,test2026/test/anomaly_id_01_00000097.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0099,test2026/test/anomaly_id_01_00000098.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0100,test2026/test/anomaly_id_01_00000099.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0101,test2026/test/anomaly_id_01_00000100.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0102,test2026/test/anomaly_id_01_00000101.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0103,test2026/test/anomaly_id_01_00000102.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0104,test2026/test/anomaly_id_01_00000103.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0105,test2026/test/anomaly_id_01_00000104.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0106,test2026/test/anomaly_id_01_00000105.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0107,test2026/test/anomaly_id_01_00000106.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0108,test2026/test/anomaly_id_01_00000107.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0109,test2026/test/anomaly_id_01_00000108.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0110,test2026/test/anomaly_id_01_00000109.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0111,test2026/test/anomaly_id_01_00000110.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0112,test2026/test/anomaly_id_01_00000111.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0113,test2026/test/anomaly_id_01_00000112.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0114,test2026/test/anomaly_id_01_00000113.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0115,test2026/test/anomaly_id_01_00000114.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0116,test2026/test/anomaly_id_01_00000115.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0117,test2026/test/anomaly_id_01_00000116.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0118,test2026/test/anomaly_id_01_00000117.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0119,test2026/test/anomaly_id_01_00000118.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0120,test2026/test/anomaly_id_01_00000119.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0121,test2026/test/anomaly_id_01_00000120.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0122,test2026/test/anomaly_id_01_00000121.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0123,test2026/test/anomaly_id_01_00000122.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0124,test2026/test/anomaly_id_01_00000123.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0125,test2026/test/anomaly_id_01_00000124.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0126,test2026/test/anomaly_id_01_00000125.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0127,test2026/test/anomaly_id_01_00000126.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0128,test2026/test/anomaly_id_01_00000127.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0129,test2026/test/anomaly_id_01_00000128.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0130,test2026/test/anomaly_id_01_00000129.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0131,test2026/test/anomaly_id_01_00000130.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0132,test2026/test/anomaly_id_01_00000131.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0133,test2026/test/anomaly_id_01_00000132.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0134,test2026/test/anomaly_id_01_00000133.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0135,test2026/test/anomaly_id_01_00000134.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0136,test2026/test/anomaly_id_01_00000135.wav,,,,,normal,none,high,,,,,,,,,,,,
SAMPLE-0137,test2026/test/anomaly_id_01_00000136.wav,,,,,normal,none,high,,,,,,,,,,,,
